2017-03-10 01:17:18 startup archives unpack
2017-03-10 01:17:22 upgrade bash:armhf 4.3-11 4.3-11+deb8u1
2017-03-10 01:17:22 status half-configured bash:armhf 4.3-11
2017-03-10 01:17:23 status unpacked bash:armhf 4.3-11
2017-03-10 01:17:23 status half-installed bash:armhf 4.3-11
2017-03-10 01:17:24 status triggers-pending man-db:armhf 2.7.0.2-5
2017-03-10 01:17:26 status triggers-pending install-info:armhf 5.2.0.dfsg.1-6
2017-03-10 01:17:28 status half-installed bash:armhf 4.3-11
2017-03-10 01:17:29 status unpacked bash:armhf 4.3-11+deb8u1
2017-03-10 01:17:29 status unpacked bash:armhf 4.3-11+deb8u1
2017-03-10 01:17:29 trigproc man-db:armhf 2.7.0.2-5 <none>
2017-03-10 01:17:29 status half-configured man-db:armhf 2.7.0.2-5
2017-03-10 01:22:25 status installed man-db:armhf 2.7.0.2-5
2017-03-10 01:22:25 trigproc install-info:armhf 5.2.0.dfsg.1-6 <none>
2017-03-10 01:22:25 status half-configured install-info:armhf 5.2.0.dfsg.1-6
2017-03-10 01:22:26 status installed install-info:armhf 5.2.0.dfsg.1-6
2017-03-10 01:22:29 startup packages configure
2017-03-10 01:22:29 configure bash:armhf 4.3-11+deb8u1 <none>
2017-03-10 01:22:29 status unpacked bash:armhf 4.3-11+deb8u1
2017-03-10 01:22:29 status unpacked bash:armhf 4.3-11+deb8u1
2017-03-10 01:22:29 status unpacked bash:armhf 4.3-11+deb8u1
2017-03-10 01:22:29 status unpacked bash:armhf 4.3-11+deb8u1
2017-03-10 01:22:29 status unpacked bash:armhf 4.3-11+deb8u1
2017-03-10 01:22:29 status half-configured bash:armhf 4.3-11+deb8u1
2017-03-10 01:22:30 status installed bash:armhf 4.3-11+deb8u1
2017-03-10 01:22:31 startup archives unpack
2017-03-10 01:22:33 upgrade dpkg:armhf 1.17.25 1.17.27
2017-03-10 01:22:33 status half-configured dpkg:armhf 1.17.25
2017-03-10 01:22:33 status unpacked dpkg:armhf 1.17.25
2017-03-10 01:22:33 status half-installed dpkg:armhf 1.17.25
2017-03-10 01:22:36 status triggers-pending man-db:armhf 2.7.0.2-5
2017-03-10 01:22:38 status half-installed dpkg:armhf 1.17.25
2017-03-10 01:22:39 status unpacked dpkg:armhf 1.17.27
2017-03-10 01:22:40 status unpacked dpkg:armhf 1.17.27
2017-03-10 01:22:40 trigproc man-db:armhf 2.7.0.2-5 <none>
2017-03-10 01:22:40 status half-configured man-db:armhf 2.7.0.2-5
2017-03-10 01:22:52 status installed man-db:armhf 2.7.0.2-5
2017-03-10 01:22:54 startup packages configure
2017-03-10 01:22:54 configure dpkg:armhf 1.17.27 <none>
2017-03-10 01:22:54 status unpacked dpkg:armhf 1.17.27
2017-03-10 01:22:54 status unpacked dpkg:armhf 1.17.27
2017-03-10 01:22:54 status unpacked dpkg:armhf 1.17.27
2017-03-10 01:22:54 status unpacked dpkg:armhf 1.17.27
2017-03-10 01:22:54 status unpacked dpkg:armhf 1.17.27
2017-03-10 01:22:54 status half-configured dpkg:armhf 1.17.27
2017-03-10 01:22:54 status installed dpkg:armhf 1.17.27
2017-03-10 01:22:56 startup archives unpack
2017-03-10 01:22:58 upgrade libc6-dev:armhf 2.19-18+deb8u1 2.19-18+deb8u7
2017-03-10 01:22:58 status half-configured libc6-dev:armhf 2.19-18+deb8u1
2017-03-10 01:23:33 status unpacked libc6-dev:armhf 2.19-18+deb8u1
